code,name,market
086520,에코프로,KOSDAQ GLOBAL
196170,알테오젠,KOSDAQ GLOBAL
247540,에코프로비엠,KOSDAQ GLOBAL
277810,레인보우로보틱스,KOSDAQ
000250,삼천당제약,KOSDAQ
298380,에이비엘바이오,KOSDAQ
950160,코오롱티슈진,KOSDAQ
058470,리노공업,KOSDAQ GLOBAL
028300,HLB,KOSDAQ
141080,리가켐바이오,KOSDAQ GLOBAL
214370,케어젠,KOSDAQ
087010,펩트론,KOSDAQ
240810,원익IPS,KOSDAQ GLOBAL
140410,메지온,KOSDAQ
039030,이오테크닉스,KOSDAQ GLOBAL
214150,클래시스,KOSDAQ GLOBAL
108490,로보티즈,KOSDAQ
310210,보로노이,KOSDAQ
347850,디앤디파마텍,KOSDAQ
095340,ISC,KOSDAQ GLOBAL
214450,파마리서치,KOSDAQ GLOBAL
403870,HPSP,KOSDAQ GLOBAL
263750,펄어비스,KOSDAQ GLOBAL
0009K0,에임드바이오,KOSDAQ
319400,현대무벡스,KOSDAQ
145020,휴젤,KOSDAQ GLOBAL
068760,셀트리온제약,KOSDAQ
237690,에스티팜,KOSDAQ GLOBAL
058610,에스피지,KOSDAQ
357780,솔브레인,KOSDAQ GLOBAL
440110,파두,KOSDAQ
041510,에스엠,KOSDAQ GLOBAL
030530,원익홀딩스,KOSDAQ
005290,동진쎄미켐,KOSDAQ
257720,실리콘투,KOSDAQ
226950,올릭스,KOSDAQ
035900,JYP Ent.,KOSDAQ GLOBAL
475830,오름테라퓨틱,KOSDAQ
036930,주성엔지니어링,KOSDAQ GLOBAL
067310,하나마이크론,KOSDAQ
290650,엘앤씨바이오,KOSDAQ
084370,유진테크,KOSDAQ
064760,티씨케이,KOSDAQ GLOBAL
083650,비에이치아이,KOSDAQ
323280,태성,KOSDAQ
032820,우리기술,KOSDAQ
098460,고영,KOSDAQ
458870,씨어스테크놀로지,KOSDAQ
178320,서진시스템,KOSDAQ
160190,하이젠알앤엠,KOSDAQ
099320,쎄트렉아이,KOSDAQ
065350,신성델타테크,KOSDAQ
476830,알지노믹스,KOSDAQ
039200,오스코텍,KOSDAQ
445680,큐리옥스바이오시스템즈,KOSDAQ
222800,심텍,KOSDAQ GLOBAL
491000,리브스메드,KOSDAQ
101490,에스앤에스텍,KOSDAQ
347700,스피어,KOSDAQ
140860,파크시스템스,KOSDAQ GLOBAL
437730,삼현,KOSDAQ
348370,엔켐,KOSDAQ
085660,차바이오텍,KOSDAQ
035760,CJ ENM,KOSDAQ GLOBAL
319660,피에스케이,KOSDAQ GLOBAL
232140,와이씨,KOSDAQ
090710,휴림로봇,KOSDAQ
466100,클로봇,KOSDAQ
003380,하림지주,KOSDAQ GLOBAL
043260,성호전자,KOSDAQ
089030,테크윙,KOSDAQ
397030,에이프릴바이오,KOSDAQ
